title,venue_name,venue_address,start_time,end_time,timezone,category,tags,description,price_text,is_free,image_url,source_url,source_name,confidence_score
Jazz at the Village Vanguard,Village Vanguard,"178 7th Ave S, New York, NY 10014",2026-07-04T20:00:00,2026-07-04T23:30:00,America/New_York,Music,"jazz,live music","World-famous jazz club featuring rotating residencies. No cover at the bar.",free,true,,https://villagevanguard.com/events/july4,Village Vanguard,0.95
Brooklyn Flea - Williamsburg,Brooklyn Flea,"50 Kent Ave, Brooklyn, NY 11249",2026-07-05T10:00:00,2026-07-05T17:00:00,America/New_York,Market,"outdoor,vintage,food,local","Weekend market with 100+ vendors selling vintage clothing, antiques, and local food",$5 suggested,false,,https://brooklynflea.com/events/williamsburg,Brooklyn Flea,0.9
Art After Dark — MoMA,Museum of Modern Art,"11 W 53rd St, New York, NY 10019",2026-07-10T18:00:00,2026-07-10T21:00:00,America/New_York,Art,"museum,art,evening","Extended evening hours with live DJ sets and cocktails in the sculpture garden",$30,false,,https://moma.org/calendar/events/art-after-dark-july,MoMA,0.92
Smorgasburg Prospect Park,Smorgasburg,"Breeze Hill, Prospect Park, Brooklyn, NY 11215",2026-07-06T11:00:00,2026-07-06T18:00:00,America/New_York,Food,"food,outdoor,brooklyn","Outdoor food market with 30+ local vendors. Cash and card accepted.",free,true,,https://smorgasburg.com/prospect-park,Smorgasburg,0.88
Rooftop Film Club — Queens,Rooftop Film Club,"Queens Museum, Flushing Meadows Corona Park, Queens, NY 11368",2026-07-08T20:30:00,2026-07-08T23:00:00,America/New_York,Film,"film,rooftop,outdoor","Outdoor rooftop screening under the stars. BYO blanket.",$18,false,,https://rooftopfilmclub.com/new-york/events/queens-july8,Rooftop Film Club,0.87
SummerStage — Central Park,SummerStage,"Rumsey Playfield, Central Park, New York, NY 10021",2026-07-12T15:00:00,2026-07-12T18:00:00,America/New_York,Music,"outdoor,concert,free","Free outdoor concert series in Central Park. Gates open one hour before.",free,true,,https://cityparksfoundation.org/summerstage/july12,City Parks Foundation,0.93
Governors Ball Music Festival,Governors Ball,"Flushing Meadows Corona Park, Queens, NY 11368",2026-07-18T12:00:00,2026-07-20T22:00:00,America/New_York,Music,"festival,outdoor,multi-day","Three-day music festival with 60+ artists across five stages",$189,false,,https://governorsballmusicfestival.com,Governors Ball,0.97
Yoga in the Park — Hudson River Park,Hudson River Park Events,"Pier 46, Hudson River Park, New York, NY 10014",2026-07-07T08:00:00,2026-07-07T09:30:00,America/New_York,Wellness,"yoga,outdoor,morning,free","Free Saturday morning yoga class on the Hudson River waterfront. All levels welcome.",free,true,,https://hudsonriverpark.org/events/yoga-july7,Hudson River Park,0.9
Chelsea Market Food Tour,Chelsea Market,"75 9th Ave, New York, NY 10011",2026-07-09T11:00:00,2026-07-09T13:00:00,America/New_York,Food,"food,tour,chelsea","Guided tasting tour of Chelsea Market's best vendors. Tickets include eight tastings.",$45,false,,https://chelseamarket.com/events/food-tour-july9,Chelsea Market,0.85
Coney Island Burlesque,Coney Island USA,"1208 Surf Ave, Brooklyn, NY 11224",2026-07-11T21:00:00,2026-07-11T23:30:00,America/New_York,Entertainment,"burlesque,coney island,nightlife","Classic Coney Island sideshow-inspired burlesque revue. 21+.",$20,false,,https://coneyisland.com/events/burlesque-july11,Coney Island USA,0.89
